"menu_item_id","region","crust","size","variable","value","radius","area","px_inc"
"  259672","Midwest","thin","14","one_topping_px","15"," 7","154","0.098"
" 7063205","Northeast","thin","12","three_topping_px","12"," 6","113","0.106"
" 1600017","Midwest","stuffed","18","one_topping_px","22"," 9","254","0.086"
" 9456840","South","thin","14","zero_topping_px"," 9"," 7","154","0.058"
" 9990198","South","hand-tossed","16","zero_topping_px","10"," 8","201","0.052"
"  571025","West","thin","20","two_topping_px","22","10","314","0.070"
" 8494295","West","hand-tossed","24","zero_topping_px","23","12","452","0.051"
"11857577","West","thin","14","two_topping_px","14"," 7","154","0.091"
" 6533071","Midwest","thin","10","two_topping_px","10"," 5"," 79","0.121"
"11857908","West","hand-tossed","12","three_topping_px","10"," 6","113","0.088"
"10595412","Midwest","deep dish","10","one_topping_px","11"," 5"," 79","0.139"
" 2029421","Midwest","thin","10","zero_topping_px"," 9"," 5"," 79","0.117"
" 7942610","Midwest","thin","18","two_topping_px","18"," 9","254","0.070"
" 8776274","South","stuffed","14","one_topping_px","16"," 7","154","0.104"
" 6355302","Midwest","thin","16","zero_topping_px","16"," 8","201","0.080"
" 7478931","West","thin","16","zero_topping_px","23"," 8","201","0.114"
" 8747654","Midwest","thin","20","zero_topping_px","26","10","314","0.084"
" 9684302","Midwest","thin","18","three_topping_px","25"," 9","254","0.098"
"10009345","Midwest","deep dish","16","zero_topping_px","14"," 8","201","0.070"
" 9336835","West","thin","16","one_topping_px","17"," 8","201","0.087"
" 1011641","Midwest","thin","16","zero_topping_px","21"," 8","201","0.104"
" 1650695","Northeast","thin","16","three_topping_px","23"," 8","201","0.114"
" 8071570","Northeast","thin","14","four_topping_px","10"," 7","154","0.065"
" 1599747","Midwest","thin","16","zero_topping_px","15"," 8","201","0.072"
" 8741403","Northeast","thin","18","one_topping_px"," 9"," 9","254","0.036"
" 9814659","South","hand-tossed","18","zero_topping_px","21"," 9","254","0.082"
"  648743","West","thin","16","zero_topping_px","14"," 8","201","0.070"
" 8860720","Northeast","hand-tossed","16","one_topping_px","19"," 8","201","0.094"
"11982907","Midwest","thin"," 9","two_topping_px"," 7"," 4"," 64","0.106"
" 8884494","Northeast","hand-tossed","10","zero_topping_px"," 8"," 5"," 79","0.102"
"10648539","Midwest","stuffed","14","four_topping_px","16"," 7","154","0.105"
" 8820897","Midwest","thin","16","two_topping_px","15"," 8","201","0.077"
" 9889105","Midwest","stuffed","12","one_topping_px","18"," 6","113","0.159"
"   16692","Midwest","thin","15","three_topping_px","19"," 8","177","0.109"
"11910122","Midwest","thin","16","four_topping_px","16"," 8","201","0.081"
"11910655","Midwest","thin","18","one_topping_px","20"," 9","254","0.077"
" 9995929","Midwest","stuffed","14","four_topping_px","17"," 7","154","0.109"
" 8743852","Northeast","deep dish","14","zero_topping_px","13"," 7","154","0.084"
" 1956215","Midwest","thin","18","zero_topping_px","18"," 9","254","0.071"
"  518589","Midwest","deep dish","12","four_topping_px","22"," 6","113","0.197"
" 6917682","South","thin","16","two_topping_px","12"," 8","201","0.060"
"  488017","West","thin","18","one_topping_px","25"," 9","254","0.098"
" 8365950","South","thin","15","one_topping_px","15"," 8","177","0.085"
" 9641954","West","thin","16","two_topping_px","11"," 8","201","0.055"
" 1643565","Midwest","thin","20","zero_topping_px","20","10","314","0.064"
"  985513","West","hand-tossed","18","zero_topping_px","23"," 9","254","0.090"
"   56568","Midwest","thin","18","four_topping_px","34"," 9","254","0.135"
" 5265152","Midwest","stuffed","14","four_topping_px","16"," 7","154","0.103"
" 6755381","South","hand-tossed","12","two_topping_px"," 7"," 6","113","0.063"
" 3173479","West","hand-tossed","20","one_topping_px","18","10","314","0.057"
" 8632079","Midwest","stuffed","14","zero_topping_px","18"," 7","154","0.120"
" 1759903","Midwest","thin","20","three_topping_px","21","10","314","0.068"
" 6163171","Northeast","stuffed","14","zero_topping_px","20"," 7","154","0.130"
" 1986404","West","thin","18","zero_topping_px","14"," 9","254","0.055"
"10648539","Midwest","hand-tossed","18","two_topping_px","18"," 9","254","0.071"
" 7857452","Northeast","thin","18","four_topping_px","14"," 9","254","0.057"
" 4368947","Midwest","thin","10","one_topping_px","15"," 5"," 79","0.190"
" 7063473","Northeast","hand-tossed","14","four_topping_px","16"," 7","154","0.105"
" 8389398","Northeast","thin","16","zero_topping_px","10"," 8","201","0.047"
" 3137803","Midwest","stuffed","12","four_topping_px","13"," 6","113","0.115"
" 5565827","Northeast","thin"," 8","two_topping_px"," 6"," 4"," 50","0.119"
" 8259945","West","thin","10","zero_topping_px"," 6"," 5"," 79","0.076"
" 1616858","South","thin","10","one_topping_px"," 8"," 5"," 79","0.102"
" 9769478","Midwest","thin","10","one_topping_px","11"," 5"," 79","0.136"
" 9943348","Midwest","deep dish","16","one_topping_px","19"," 8","201","0.094"
" 2598269","West","stuffed","10","four_topping_px","11"," 5"," 79","0.140"
" 9764084","West","thin"," 8","three_topping_px","10"," 4"," 50","0.198"
"11102202","Midwest","thin","12","three_topping_px","10"," 6","113","0.088"
" 6280030","Midwest","thin","12","four_topping_px","30"," 6","113","0.269"
" 2063881","Midwest","stuffed","14","two_topping_px","16"," 7","154","0.107"
" 6510864","Midwest","thin","12","three_topping_px","10"," 6","113","0.093"
" 9001823","West","thin","16","two_topping_px","16"," 8","201","0.082"
"10058523","South","deep dish","18","four_topping_px","23"," 9","254","0.090"
" 8182206","Midwest","thin","12","two_topping_px","11"," 6","113","0.097"
"10702973","Midwest","hand-tossed","14","two_topping_px"," 8"," 7","154","0.052"
" 8946054","Midwest","thin","12","two_topping_px","10"," 6","113","0.084"
" 8777537","South","thin","14","zero_topping_px"," 9"," 7","154","0.058"
" 8550767","West","thin","12","zero_topping_px","14"," 6","113","0.124"
"10222224","Midwest","hand-tossed","12","four_topping_px"," 6"," 6","113","0.053"
" 9456840","South","thin","14","four_topping_px"," 9"," 7","154","0.058"
" 9843475","South","thin","16","one_topping_px","10"," 8","201","0.052"
" 6821409","South","thin","18","one_topping_px","15"," 9","254","0.059"
" 2865845","Midwest","thin","20","four_topping_px","17","10","314","0.054"
" 1815320","West","hand-tossed","14","three_topping_px","20"," 7","154","0.127"
"10527353","South","thin","14","four_topping_px","13"," 7","154","0.084"
"   32785","Midwest","stuffed","14","one_topping_px","16"," 7","154","0.107"
"   92990","Midwest","thin","12","zero_topping_px","10"," 6","113","0.085"
" 8084839","Midwest","stuffed","10","zero_topping_px","14"," 5"," 79","0.181"
" 6280030","Midwest","thin","12","two_topping_px","25"," 6","113","0.217"
"11984977","West","thin","12","four_topping_px"," 7"," 6","113","0.066"
" 8063934","South","thin","14","one_topping_px","11"," 7","154","0.071"
" 8519320","West","thin","11","three_topping_px","12"," 6"," 95","0.126"
" 7892725","West","hand-tossed","14","three_topping_px","14"," 7","154","0.094"
" 8860720","Northeast","hand-tossed","16","three_topping_px","23"," 8","201","0.114"
" 7914271","Midwest","hand-tossed","10","two_topping_px","13"," 5"," 79","0.172"
"  976425","Midwest","thin","16","zero_topping_px","18"," 8","201","0.089"
" 6724803","West","hand-tossed","14","zero_topping_px","10"," 7","154","0.065"
" 1954849","Midwest","thin","18","zero_topping_px","18"," 9","254","0.072"
"   58920","West","thin","14","zero_topping_px","12"," 7","154","0.079"
" 8842796","Midwest","thin","10","two_topping_px","12"," 5"," 79","0.153"
" 9995931","Midwest","stuffed","14","one_topping_px","19"," 7","154","0.126"
"  314968","Midwest","thin","12","zero_topping_px","17"," 6","113","0.149"
" 2707738","Midwest","thin","13","zero_topping_px","13"," 6","133","0.100"
" 8657286","Northeast","hand-tossed","18","one_topping_px","15"," 9","254","0.059"
" 1530914","South","thin","14","two_topping_px","11"," 7","154","0.071"
"10745215","Midwest","thin","14","four_topping_px","13"," 7","154","0.084"
" 4055889","Midwest","thin","14","zero_topping_px","16"," 7","154","0.101"
" 8488930","Midwest","stuffed","14","zero_topping_px","17"," 7","154","0.111"
" 9826822","Midwest","stuffed","14","two_topping_px","18"," 7","154","0.117"
" 8953769","West","thin","12","two_topping_px"," 9"," 6","113","0.079"
" 1569700","West","thin","12","three_topping_px","12"," 6","113","0.110"
" 8310912","West","thin","13","zero_topping_px","10"," 6","133","0.075"
" 7152389","Northeast","thin","12","zero_topping_px","12"," 6","113","0.106"
" 9356038","West","thin","10","four_topping_px"," 7"," 5"," 79","0.095"
" 7150455","Midwest","thin","12","one_topping_px","10"," 6","113","0.084"
" 9113433","Midwest","thin","12","three_topping_px"," 6"," 6","113","0.053"
" 7063206","Northeast","thin","14","two_topping_px","14"," 7","154","0.088"
" 3468685","Midwest","thin","16","zero_topping_px","17"," 8","201","0.087"
" 8324797","Northeast","hand-tossed","12","zero_topping_px"," 9"," 6","113","0.079"
" 8376555","West","thin","16","zero_topping_px","15"," 8","201","0.076"
" 9818801","South","thin","10","four_topping_px","17"," 5"," 79","0.216"
"11893842","Midwest","thin","10","zero_topping_px","10"," 5"," 79","0.127"
