date,Total,Construction,Manufacturing,Retail trade,Professional and business services,Leisure and hospitality,Government
6/1/2008,53.68378324,31.49779736,42.51336898,56.09756098,50.80385852,69.16565901,48.01444043
7/1/2008,52.66297401,35.74879227,42.90030211,55.11921459,50.22675737,68.10877627,49.80392157
8/1/2008,50.28771065,36.61327231,42.98780488,55.73549258,41.08796296,60.53864169,50.16835017
9/1/2008,51.27829003,26.44230769,40.48913043,58.83190883,46.88221709,65.6019656,45.6445993
10/1/2008,48.92582084,24.11504425,34.73945409,53.08123249,48.35526316,65.13075965,41.41414141
11/1/2008,44.87534626,18.61924686,33.60655738,53.48148148,40.1323043,61.89189189,42.8030303
12/1/2008,43.22420224,18.50220264,24.04761905,52.23021583,39.22413793,60.626703,46.32352941
1/1/2009,40.16177958,17.08333333,21.97580645,53.98089172,40.63926941,58.44686649,36.42611684
2/1/2009,40.55319149,19.67963387,23.72093023,49.47183099,32.4631101,57.84447476,35.97122302
3/1/2009,39.63612736,18.96162528,20.14218009,51.20385233,35.7881137,56.46551724,38.69731801
4/1/2009,37.50531237,14.81481481,21.02564103,35.99458728,34.80278422,56.95652174,37.78625954
5/1/2009,41.42448785,21.0106383,23.69146006,47.14038128,41.65497896,58.75,30.9375
6/1/2009,41.82472989,21.42857143,25.28735632,55.23255814,38.37535014,56.67655786,30.25477707
7/1/2009,40.25543992,16.38954869,28.71287129,52.31053604,35.74351978,54.27728614,37.16216216
8/1/2009,41.25770654,18.10344828,28.36879433,53.11355311,36.28571429,54.5325779,37.31343284
9/1/2009,39.36562577,19.35483871,30.89700997,45.32871972,37.06395349,48.84488449,31.61512027
10/1/2009,42.18907988,15.68627451,27.14285714,50.54945055,39.19885551,54.08320493,37.26235741
11/1/2009,45.19255292,25.76687117,25.08710801,53.76984127,37.72538141,57.77777778,37.03703704
12/1/2009,43.07576518,21.61458333,27.84313725,52.88640596,40.24024024,54.36746988,38.4083045
1/1/2010,43.61483007,25.13227513,29.28571429,50.20661157,39.45086705,61.10260337,37.86764706
